id,name
0,take
1,put
2,wash
3,open
4,close
5,insert
6,turn-on
7,cut
8,turn-off
9,pour
10,mix
11,move
12,remove
13,throw
14,dry
15,shake
16,scoop
17,adjust
18,squeeze
19,peel
20,empty
21,press
22,flip
23,turn
24,check
25,scrape
26,fill
27,apply
28,fold
29,scrub
30,break
31,pull
32,pat
33,lift
34,hold
35,eat
36,wrap
37,filter
38,look
39,unroll
40,sort
41,hang
42,sprinkle
43,rip
44,spray
45,cook
46,add
47,roll
48,search
49,crush
50,stretch
51,knead
52,divide
53,set
54,feel
55,rub
56,soak
57,brush
58,sharpen
59,drop
60,drink
61,slide
62,water
63,gather
64,attach
65,turn-down
66,coat
67,transition
68,wear
69,measure
70,increase
71,unscrew
72,wait
73,lower
74,form
75,smell
76,use
77,grate
78,screw
79,let-go
80,finish
81,stab
82,serve
83,uncover
84,unwrap
85,choose
86,lock
87,flatten
88,switch
89,carry
90,season
91,unlock
92,prepare
93,bake
94,mark
95,bend
96,unfreeze
97,tap
98,spoon
99,plate
100,cupboard
101,knife
102,pan
103,lid
104,bowl
105,drawer
106,sponge
107,glass
108,hand
109,fridge
110,cup
111,fork
112,bottle
113,onion
114,cloth
115,chopping board
116,bag
117,spatula
118,container
119,washing liquid
120,box
121,hob
122,dough
123,package
124,water
125,meat
126,pot
127,potato
128,oil
129,cheese
130,bread
131,food
132,tray
133,bin
134,pepper
135,salt
136,colander
137,jar
138,carrot
139,top
140,tomato
141,kettle
142,pasta
143,oven
144,sauce
145,skin
146,paper
147,coffee maker
148,garlic
149,towel
150,egg
151,rubbish
152,rice
153,mushroom
154,chicken
155,cutlery
156,coffee
157,glove
158,can
159,leaf
160,sink
161,milk
162,heat
163,jug
164,aubergine
165,salad
166,chilli
167,dishwasher
168,mixture
169,cucumber
170,clothes
171,peach
172,flour
173,courgette
174,filter
175,butter
176,scissors
177,chopstick
178,tofu
179,blender
180,olive
181,mat
182,spice
183,sausage
184,potato peeler
185,napkin
186,cover
187,microwave
188,pizza
189,button
190,kitchen towel
191,vegetable
192,stock
193,grater
194,ladle
195,yoghurt
196,cereal
197,plastic wrap
198,broccoli
199,sugar
200,brush
201,biscuit
202,lemon
203,juicer
204,wrap
205,scale
206,rest
207,drying rack
208,alarm
209,salmon
210,freezer
211,light
212,spreads
213,squash
214,leek
215,cap
216,fish
217,lettuce
218,curry
219,seed
220,foil
221,washing machine
222,corn
223,soup
224,oatmeal
225,spring onion
226,clip
227,lighter
228,ginger
229,tea
230,nut
231,vinegar
232,holder
233,rolling pin
234,pie
235,powder
236,burger
237,book
238,egg shell
239,tongs
240,cream
241,pork
242,oregano
243,banana
244,food processor
245,paste
246,recipe
247,liquid
248,pak choi
249,slow cooker
250,plug
251,utensil
252,noodle
253,salami
254,kitchen
255,teapot
256,floor
257,tuna
258,lime
259,omelette
260,bacon
261,sandwich
262,phone
263,thermometer
264,orange
265,basket
266,parsley
267,salad spinner
268,tablet
269,presser
270,coriander
271,bottle opener
272,cake
273,avocado
274,lentil
275,blueberry
276,extractor fan
277,salt cellar
278,hummus
279,chair
280,juice
281,pancake
282,green bean
283,toaster
284,apple
285,chocolate
286,ice
287,knob
288,handle
289,wine
290,pea
291,pith
292,yeast
293,coconut
294,fishcakes
295,spinach
296,apron
297,raisin
298,basil
299,grape
300,kale
301,wire
302,asparagus
303,paprika
304,mango
305,caper
306,drink
307,stalk
308,turmeric
309,whetstone
310,kiwi
311,bean
312,thyme
313,lady finger
314,beef
315,whisk
316,blackberry
317,slicer
318,remote control
319,label
320,celery
321,cabbage
322,hoover
323,breadstick
324,roll
325,cocktail
326,crisp
327,ladder
328,beer
329,dust pan
330,battery
331,washing powder
332,backpack
333,cumin
334,pizza cutter
335,air
336,pear
337,quorn
338,funnel
339,wall
340,strawberry
341,almond
342,tv
343,egg scotch
344,shelf
345,straw
346,stand
347,sous machine
348,masher
349,hand guard
350,shrimp
351,fruit
352,artichoke
353,cork
354,cherry
355,sprout
356,sushi mat
357,crab stick
358,onion ring
359,pestle
360,window
361,gin
362,bar
363,mint
364,heater
365,lemon grass
366,rubber
367,gherkin
368,breadcrumb
369,watch
370,melon
371,cinnamon
372,popcorn
373,dumpling
374,rosemary
375,power
376,syrup
377,candle
378,pineapple
379,sheets
380,soda
381,raspberry
382,airer
383,balloon
384,turkey
385,computer
386,key
387,pillow
388,pen
389,face
390,plum
391,whiskey
392,kitchen door
393,tape
394,camera
395,cd
396,vanilla extract
397,left hand
398,right hand
399,foot
400,left glove
401,right glove
